city,state,stars,type
Dravosburg,PA,3.5,business
Dravosburg,PA,3,business
Bethel Park,PA,2.5,business
Braddock,PA,4.5,business
Braddock,PA,5,business
Carnegie,PA,4,business
Carnegie,PA,2.5,business
Carnegie,PA,4,business
Carnegie,PA,2.5,business
Pittsburgh,PA,4,business
Carnegie,PA,4.5,business
Carnegie,PA,3.5,business
Carnegie,PA,3.5,business
Carnegie,PA,4,business
Carnegie,PA,3.5,business
Carnegie,PA,3,business
Carnegie,PA,3,business
Carnegie,PA,4,business
Carnegie,PA,4.5,business
Carnegie,PA,4,business
Carnegie,PA,3.5,business
Carnegie,PA,3.5,business
Carnegie,PA,2.5,business
Carnegie,PA,4.5,business
Carnegie,PA,3,business
Carnegie,PA,2.5,business
Carnegie,PA,2.5,business
Heidelberg,PA,3.5,business
Pittsburgh,PA,3.5,business
Carnegie,PA,3,business
Carnegie,PA,3.5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,1.5,business
Homestead,PA,2,business
Homestead,PA,2,business
Homestead,PA,3.5,business
Homestead,PA,2.5,business
West Mifflin,PA,5,business
Munhall,PA,3,business
Homestead,PA,4.5,business
Munhall,PA,2,business
Homestead,PA,3.5,business
Homestead,PA,3.5,business
Homestead,PA,4.5,business
Homestead,PA,3,business
Homestead,PA,3.5,business
Homestead,PA,2.5,business
Homestead,PA,1.5,business
Homestead,PA,3,business
West Homestead,PA,4.5,business
Homestead,PA,2.5,business
Homestead,PA,3.5,business
Homestead,PA,3.5,business
Homestead,PA,3,business
Homestead,PA,3.5,business
Homestead,PA,3.5,business
West Homestead,PA,2.5,business
Homestead,PA,3,business
Homestead,PA,5,business
Homestead,PA,4.5,business
Munhall,PA,3,business
Homestead,PA,2.5,business
Homestead,PA,3,business
Homestead,PA,4.5,business
Homestead,PA,2,business
Homestead,PA,4.5,business
Homestead,PA,3,business
Homestead,PA,4,business
Homestead,PA,3.5,business
West Homestead,PA,3,business
Homestead,PA,2.5,business
Homestead,PA,3.5,business
Homestead,PA,2,business
Munhall,PA,4,business
Homestead,PA,4,business
Homestead,PA,3,business
Homestead,PA,3,business
Homestead,PA,4,business
Homestead,PA,3,business
Homestead,PA,3.5,business
Homestead,PA,3.5,business
Homestead,PA,2.5,business
West Mifflin,PA,3,business
West Mifflin,PA,2.5,business
West Mifflin,PA,1.5,business
West Mifflin,PA,4.5,business
West Mifflin,PA,4.5,business
West Mifflin,PA,3.5,business
West Mifflin,PA,4.5,business
West Mifflin,PA,5,business
McKeesport,PA,5,business
Mc Kees Rocks,PA,4.5,business
McKees Rocks,PA,4,business
McKees Rocks,PA,4.5,business
Mc Kees Rocks,PA,4,business
Mc Kees Rocks,PA,2,business
McKees Rocks,PA,3.5,business
McKees Rocks,PA,4,business
McKees Rocks,PA,3.5,business
Mc Kees Rocks,PA,2.5,business
Pittsburgh,PA,4,business
Mc Kees Rocks,PA,4.5,business
Pittsburgh,PA,3.5,business
Bellvue,PA,4.5,business
Bellvue,PA,4,business
Bellevue,PA,4,business
Pittsburgh,PA,2.5,business
Bellevue,PA,2.5,business
Pittsburgh,PA,1.5,business
Bellevue,PA,2.5,business
Pittsburgh,PA,1.5,business
Pittsburgh,PA,3,business
Bellevue,PA,5,business
Bellevue,PA,4,business
Bellvue,PA,3,business
Bellevue,PA,4,business
Pittsburgh,PA,4.5,business
Bellevue,PA,4.5,business
Pittsburgh,PA,3,business
Bellevue,PA,3.5,business
Pittsburgh,PA,3.5,business
Bellevue,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4,business
Pittsburgh,PA,5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3,business
Pittsburgh,PA,2,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2,business
Pittsburgh,PA,2,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,2,business
Pittsburgh,PA,2,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,2,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,2,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,2,business
Pittsburgh,PA,1.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,1,business
Pittsburgh,PA,1.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,2,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,1.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,2,business
Pittsburgh,PA,5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,5,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3,business
Pittsburgh,PA,2.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2,business
Pittsburgh,PA,4,business
Pittsburgh,PA,5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,2,business
Pittsburgh,PA,3,business
Pittsburgh,PA,3.5,business
Pittsburgh,PA,4,business
Pittsburgh,PA,4,business
Pittsburgh,PA,2,business
